pfad	system_zeichen	nutzer_zeichen	token_gesamt
01-gespraech	23289	23370	15553
02-gespraech-erstkontakt	20508	23273	14593
03-auftragszug-schlag-vor	23289	23421	15570
03-auftragszug-namen	23289	23453	15580
03-auftragszug-duktus	23289	23475	15588
03-auftragszug-richtungen	23289	23459	15582
04-erkenner	31066	2423	11162
05-erkenner-aufnahme	31066	102	10389
06-verdichter	3259	961	1406
07-journal	5070	1545	2205
08-sprachprofil	2458	28	828
09-kernzitate	2483	928	1136
10-schaerfung	2103	1730	1277
11-szenenfolge	5864	2337	2733
12-geschichte	5352	1945	2432
13-szene-dialog	31183	3175	11452
13-szene-monolog	24335	3175	9169
13-szene-chor	24423	3175	9199
13-szene-lied	25495	3175	9556
13-szene-rap	25462	3175	9545
14-feldvorschlag	23289	23478	15589
